customer_id,age,gender,city,signup_date,customer_rating
C00001,56,Female,Bangalore,2025-07-17,4.5
C00002,46,Male,Mumbai,2023-09-13,3.2
C00003,32,Male,Bangalore,2024-06-13,3.6
C00004,60,Female,Delhi,2024-04-17,4.1
C00005,25,Male,Delhi,2025-11-01,4.1
C00006,38,Female,Delhi,2025-08-27,4.2
C00007,56,Female,Hyderabad,2026-04-20,3.3
C00008,36,Male,Delhi,2023-11-20,3.8
C00009,40,Male,Mumbai,2024-11-21,4.2
C00010,28,Male,Chennai,2023-09-18,4.9
C00011,28,Female,Bangalore,2024-04-12,4.5
C00012,41,Male,Hyderabad,2025-02-20,4.8
C00013,53,Male,Delhi,2023-09-15,4.5
C00014,57,Male,Delhi,2024-03-21,4.2
C00015,41,Female,Chennai,2025-07-29,3.4
C00016,20,Male,Chennai,2025-04-05,4.3
C00017,39,Male,Hyderabad,2024-04-14,4.2
C00018,19,Female,Bangalore,2025-05-23,4.2
C00019,41,Female,Delhi,2026-01-20,4.0
C00020,61,Male,Hyderabad,2023-08-24,4.1
C00021,47,Male,Mumbai,2026-01-16,3.7
C00022,55,Male,Mumbai,2025-09-20,4.0
C00023,19,Female,Hyderabad,2024-08-23,3.4
C00024,38,Male,Delhi,2024-02-03,4.6
C00025,50,Female,Hyderabad,2026-07-01,3.4
C00026,29,Female,Delhi,2024-08-19,3.2
C00027,39,Female,Chennai,2023-11-26,3.9
C00028,61,Male,Hyderabad,2023-12-01,4.3
C00029,42,Female,Delhi,2026-03-02,3.9
C00030,44,Female,Hyderabad,2025-06-08,3.6
C00031,59,Female,Hyderabad,2026-01-17,4.1
C00032,45,Male,Delhi,2025-10-24,3.7
C00033,33,Other,Delhi,2025-03-26,4.9
C00034,32,Male,Bangalore,2026-07-18,4.8
C00035,64,Male,Hyderabad,2024-10-04,4.0
C00036,61,Male,Mumbai,2025-04-13,3.7
C00037,20,Female,Hyderabad,2026-02-11,4.5
C00038,54,Male,Hyderabad,2025-06-24,3.1
C00039,24,Male,Delhi,2026-03-18,3.9
C00040,38,Male,Hyderabad,2025-05-10,3.7
C00041,26,Male,Hyderabad,2025-09-27,4.8
C00042,56,Female,Mumbai,2023-10-06,3.0
C00043,35,Female,Delhi,2024-04-22,4.1
C00044,21,Male,Hyderabad,2024-06-29,4.5
C00045,42,Male,Chennai,2023-11-12,4.0
C00046,31,Female,Bangalore,2024-04-28,3.2
C00047,26,Male,Mumbai,2023-12-05,4.9
C00048,43,Male,Hyderabad,2024-06-16,4.0
C00049,19,Other,Chennai,2025-07-13,4.2
C00050,37,Female,Hyderabad,2024-09-19,3.5
C00051,45,Male,Hyderabad,2024-09-25,4.0
C00052,64,Female,Delhi,2024-04-02,3.9
C00053,24,Male,Delhi,2024-06-04,3.1
C00054,61,Female,Delhi,2026-06-08,3.2
C00055,25,Male,Chennai,2025-07-27,4.7
C00056,64,Male,Hyderabad,2025-06-14,3.5
C00057,52,Male,Bangalore,2024-02-20,3.4
C00058,31,Female,Mumbai,2025-10-24,4.0
C00059,34,Female,Delhi,2024-02-12,4.5
C00060,53,Male,Delhi,2024-10-05,3.1
C00061,57,Male,Hyderabad,2026-08-05,4.2
C00062,21,Female,Hyderabad,2025-07-18,3.2
C00063,19,Male,Chennai,2025-04-18,3.1
C00064,23,Male,Chennai,2025-09-05,3.1
C00065,59,Other,Delhi,2026-02-25,4.7
C00066,21,Male,Hyderabad,2025-12-14,3.2
C00067,46,Female,Bangalore,2024-04-24,3.1
C00068,35,Other,Mumbai,2023-09-21,3.9
C00069,43,Male,Hyderabad,2024-07-27,4.7
C00070,61,Male,Hyderabad,2024-06-05,3.5
C00071,51,Male,Chennai,2024-04-04,3.8
C00072,27,Female,Mumbai,2026-06-15,3.1
C00073,53,Female,Delhi,2026-04-03,3.9
C00074,31,Female,Hyderabad,2024-07-26,4.2
C00075,48,Male,Delhi,2025-08-04,4.1
C00076,32,Female,Hyderabad,2024-10-23,3.7
C00077,25,Female,Delhi,2026-05-15,3.6
C00078,31,Female,Mumbai,2024-12-31,3.2
C00079,40,Female,Chennai,2024-06-02,3.7
C00080,57,Female,Mumbai,2024-05-13,3.2
C00081,38,Female,Bangalore,2025-04-23,4.5
C00082,33,Female,Chennai,2024-05-30,4.9
C00083,62,Male,Mumbai,2025-05-18,4.9
C00084,35,Male,Bangalore,2026-04-27,4.7
C00085,64,Female,Hyderabad,2024-10-27,4.2
C00086,41,Male,Hyderabad,2024-04-13,4.4
C00087,43,Female,Delhi,2026-08-14,3.6
C00088,42,Other,Chennai,2025-02-25,4.3
C00089,62,Female,Hyderabad,2023-11-24,3.9
C00090,58,Male,Chennai,2023-10-07,4.0
C00091,46,Male,Hyderabad,2023-12-15,4.5
C00092,32,Male,Delhi,2025-07-04,3.6
C00093,62,Female,Mumbai,2026-01-01,3.6
C00094,18,Female,Delhi,2024-11-21,4.8
C00095,42,Female,Bangalore,2023-10-25,3.1
C00096,24,Male,Hyderabad,2024-10-08,4.0
C00097,26,Female,Bangalore,2026-08-12,4.8
C00098,41,Female,Bangalore,2025-03-18,4.2
C00099,18,Male,Chennai,2026-07-16,4.1
C00100,61,Female,Hyderabad,2026-03-17,3.5
C00101,25,Male,Bangalore,2023-08-29,3.7
C00102,41,Male,Mumbai,2025-10-14,4.7
C00103,28,Female,Bangalore,2025-09-02,4.1
C00104,34,Male,Mumbai,2025-03-27,4.0
C00105,25,Female,Chennai,2024-06-04,3.2
C00106,52,Female,Bangalore,2025-07-19,3.0
C00107,52,Female,Delhi,2023-12-17,4.9
C00108,50,Male,Chennai,2024-12-05,3.8
C00109,22,Female,Mumbai,2024-12-26,4.2
C00110,59,Female,Chennai,2026-06-27,3.2
C00111,56,Female,Bangalore,2026-04-02,4.4
C00112,58,Male,Hyderabad,2024-05-31,4.9
