driver_id,driver_age,vehicle_type,driver_rating,experience_years
D0001,39,Scooter,4.0,8
D0002,37,Scooter,4.0,6
D0003,46,Scooter,3.5,7
D0004,42,Bike,3.2,2
D0005,48,Bike,4.2,6
D0006,21,Car,4.5,8
D0007,22,Bike,5.0,8
D0008,37,Scooter,4.5,4
D0009,41,Scooter,4.6,6
D0010,29,Bike,4.2,5
D0011,33,Bike,5.0,9
D0012,31,Scooter,4.3,8
D0013,36,Scooter,4.7,2
D0014,36,Scooter,4.9,7
D0015,22,Bike,4.9,7
D0016,28,Scooter,3.8,1
D0017,33,Scooter,3.2,1
D0018,37,Scooter,3.3,4
D0019,44,Bike,3.1,5
D0020,23,Scooter,3.2,4
D0021,50,Car,3.4,7
D0022,33,Scooter,3.7,3
D0023,39,Scooter,4.1,7
D0024,27,Scooter,4.4,8
D0025,29,Scooter,3.4,6
D0026,39,Car,4.3,6
D0027,42,Bike,4.4,8
D0028,38,Bike,4.1,8
D0029,43,Bike,4.8,7
D0030,22,Bike,3.2,6
D0031,31,Bike,3.4,6
D0032,51,Scooter,3.9,10
D0033,53,Bike,3.3,6
D0034,34,Scooter,4.1,8
D0035,36,Scooter,3.8,1
D0036,31,Bike,3.6,5
D0037,53,Car,3.3,3
D0038,27,Scooter,3.7,8
D0039,51,Scooter,4.2,6
D0040,34,Bike,4.2,2
D0041,48,Bike,3.3,7
D0042,36,Scooter,3.2,7
D0043,39,Bike,3.1,5
D0044,37,Scooter,3.0,8
D0045,46,Scooter,4.8,5
D0046,26,Bike,3.1,1
D0047,29,Scooter,4.5,9
D0048,37,Bike,4.7,4
D0049,51,Car,3.2,2
D0050,32,Bike,3.9,4
D0051,43,Scooter,4.9,9
D0052,25,Bike,4.7,2
D0053,23,Scooter,4.0,4
D0054,44,Scooter,4.5,2
D0055,37,Bike,4.7,5
D0056,46,Scooter,3.7,3
D0057,24,Bike,4.8,10
D0058,32,Scooter,3.9,2
D0059,21,Scooter,4.1,9
D0060,41,Bike,5.0,5
D0061,39,Bike,4.7,10
D0062,41,Bike,3.7,5
D0063,38,Scooter,3.0,1
D0064,23,Bike,4.3,6
D0065,52,Bike,4.4,7
D0066,30,Bike,4.3,1
D0067,35,Bike,4.9,9
D0068,25,Car,4.7,8
D0069,24,Bike,3.9,8
D0070,48,Scooter,3.1,7
D0071,24,Scooter,4.0,5
D0072,35,Scooter,4.4,3
D0073,37,Bike,4.2,9
D0074,23,Scooter,4.1,7
D0075,30,Scooter,3.9,10
D0076,43,Bike,3.6,10
D0077,38,Bike,3.6,8
D0078,21,Bike,4.0,6
D0079,51,Bike,3.3,5
D0080,21,Bike,3.7,8
D0081,23,Scooter,3.6,3
D0082,23,Bike,4.2,7
D0083,39,Scooter,3.1,2
D0084,49,Scooter,4.7,3
D0085,45,Scooter,4.1,2
D0086,53,Scooter,4.3,5
D0087,49,Bike,4.4,7
D0088,46,Car,3.6,10
D0089,24,Scooter,3.9,10
D0090,34,Scooter,4.9,1
D0091,47,Scooter,4.5,10
D0092,53,Bike,4.9,9
D0093,42,Bike,4.5,1
