delivery_id,order_id,driver_id,delivery_distance_km,preparation_time_minutes,traffic_condition,weather,delivery_time_minutes,tip_amount
DL00001,O00001,D0259,14.79,43,Medium,Rainy,128.9,164.01
DL00002,O00002,D0167,5.64,32,High,Clear,81.7,66.3
DL00003,O00003,D0471,9.75,41,High,Clear,98.1,149.36
DL00004,O00004,D0267,8.97,30,Medium,Rainy,90.8,211.23
DL00005,O00005,D0224,8.57,31,Medium,Cloudy,81.1,36.35
DL00006,O00006,D0367,14.06,11,High,Cloudy,90.5,212.34
DL00007,O00007,D0286,2.77,18,High,Cloudy,57.0,85.74
DL00008,O00008,D0306,8.23,35,High,Cloudy,93.2,45.82
DL00009,O00009,D0484,1.36,29,Low,Rainy,57.1,39.0
DL00010,O00010,D0067,5.31,24,High,Rainy,91.3,73.04
DL00011,O00011,D0176,10.45,30,Low,Clear,75.8,68.22
DL00012,O00012,D0104,11.93,24,Medium,Cloudy,82.1,114.54
DL00013,O00013,D0296,12.96,32,Medium,Rainy,108.1,30.77
DL00014,O00014,D0228,2.07,14,High,Rainy,68.9,45.63
DL00015,O00015,D0272,3.58,43,Medium,Clear,65.1,52.42
DL00016,O00016,D0160,6.62,33,Low,Cloudy,64.6,92.23
DL00017,O00017,D0356,6.34,35,Medium,Rainy,103.1,294.88
DL00018,O00018,D0190,4.56,17,Medium,Clear,54.3,55.14
DL00019,O00019,D0230,14.11,17,High,Rainy,112.2,82.41
DL00020,O00020,D0214,8.47,15,High,Clear,72.5,76.35
DL00021,O00021,D0102,10.2,35,High,Clear,96.5,99.52
DL00022,O00022,D0498,11.5,43,High,Clear,104.9,58.19
DL00023,O00023,D0460,8.61,36,Medium,Clear,91.1,78.74
DL00024,O00024,D0040,12.67,24,Medium,Clear,84.7,133.35
DL00025,O00025,D0206,14.79,27,Low,Cloudy,89.3,133.04
DL00026,O00026,D0199,6.49,11,Medium,Clear,58.5,72.02
DL00027,O00027,D0322,10.01,34,Medium,Cloudy,87.0,45.61
DL00028,O00028,D0360,5.44,18,Low,Clear,43.6,52.69
DL00029,O00029,D0395,1.97,25,High,Rainy,80.8,239.57
DL00030,O00030,D0497,1.38,14,Medium,Rainy,50.6,169.54
DL00031,O00031,D0458,4.26,34,High,Cloudy,75.4,48.68
DL00032,O00032,D0487,3.27,32,Medium,Rainy,80.0,107.13
DL00033,O00033,D0390,11.11,13,High,Rainy,94.1,213.87
DL00034,O00034,D0137,7.49,40,Low,Cloudy,74.4,232.58
DL00035,O00035,D0403,8.56,28,Low,Clear,64.3,157.3
DL00036,O00036,D0153,2.15,17,Low,Clear,34.0,4.67
DL00037,O00037,D0133,1.27,26,Medium,Rainy,63.2,41.85
DL00038,O00038,D0005,7.09,14,High,Clear,66.2,146.39
DL00039,O00039,D0310,4.58,28,High,Clear,79.8,28.81
DL00040,O00040,D0451,9.71,25,Medium,Clear,74.1,28.68
DL00041,O00041,D0452,8.16,20,High,Clear,85.7,55.25
DL00042,O00042,D0268,12.6,11,High,Cloudy,84.1,109.85
DL00043,O00043,D0218,12.74,14,Medium,Cloudy,73.9,54.84
DL00044,O00044,D0390,8.52,44,Medium,Clear,99.9,88.91
DL00045,O00045,D0245,13.7,26,Medium,Clear,82.8,50.84
DL00046,O00046,D0202,14.06,24,Medium,Clear,76.4,98.51
DL00047,O00047,D0347,4.42,32,High,Clear,79.5,185.93
DL00048,O00048,D0360,14.68,27,Low,Cloudy,98.6,26.62
DL00049,O00049,D0087,14.8,12,High,Clear,84.3,32.52
DL00050,O00050,D0113,1.91,43,Medium,Clear,69.4,98.23
DL00051,O00051,D0294,1.03,33,High,Rainy,77.3,169.49
DL00052,O00052,D0414,1.82,11,Medium,Rainy,51.1,102.94
DL00053,O00053,D0165,5.9,29,Medium,Clear,62.6,134.48
DL00054,O00054,D0234,12.31,17,High,Cloudy,93.4,135.01
DL00055,O00055,D0153,8.06,37,Medium,Clear,87.6,25.25
DL00056,O00056,D0428,5.15,18,Medium,Clear,47.0,12.95
DL00057,O00057,D0060,1.77,39,Low,Rainy,75.7,105.43
DL00058,O00058,D0398,6.54,20,Medium,Clear,55.3,81.2
DL00059,O00059,D0067,1.51,30,High,Clear,66.3,118.7
DL00060,O00060,D0116,3.42,24,Low,Clear,49.0,267.8
DL00061,O00061,D0068,13.3,36,High,Rainy,120.0,128.03
DL00062,O00062,D0164,11.66,35,Low,Cloudy,79.0,191.52
DL00063,O00063,D0281,14.94,31,Low,Cloudy,86.2,30.35
DL00064,O00064,D0008,13.52,16,Medium,Cloudy,86.2,29.82
DL00065,O00065,D0281,12.98,13,High,Clear,87.5,152.68
DL00066,O00066,D0420,3.45,12,High,Rainy,59.5,53.09
DL00067,O00067,D0030,10.08,34,Medium,Clear,91.7,5.91
DL00068,O00068,D0115,9.41,30,Medium,Clear,74.6,181.7
DL00069,O00069,D0335,13.85,33,Low,Rainy,97.0,166.03
DL00070,O00070,D0188,11.93,10,Medium,Rainy,83.1,25.52
DL00071,O00071,D0301,11.85,16,Low,Clear,50.8,176.53
DL00072,O00072,D0229,5.55,34,High,Cloudy,87.1,23.75
DL00073,O00073,D0047,2.74,14,Medium,Rainy,56.7,31.64
DL00074,O00074,D0178,6.17,21,Medium,Rainy,77.6,30.67
DL00075,O00075,D0453,3.92,29,Low,Rainy,65.3,136.05
DL00076,O00076,D0338,11.19,21,Medium,Clear,79.9,5.1
DL00077,O00077,D0480,7.43,37,High,Rainy,100.2,17.31
DL00078,O00078,D0042,4.25,28,Low,Clear,53.9,37.68
DL00079,O00079,D0178,10.21,16,Low,Clear,55.3,185.41
DL00080,O00080,D0263,1.97,13,Medium,Clear,30.4,162.0
DL00081,O00081,D0490,13.85,32,High,Clear,100.3,58.68
DL00082,O00082,D0004,9.1,38,High,Cloudy,100.9,11.63
DL00083,O00083,D0310,7.45,44,Medium,Clear,86.1,77.51
DL00084,O00084,D0105,4.49,25,High,Clear,65.5,112.26
DL00085,O00085,D0173,8.67,27,Medium,Clear,68.9,177.14
DL00086,O00086,D0287,5.02,40,Medium,Rainy,90.3,66.58
DL00087,O00087,D0080,6.52,20,Low,Clear,57.1,174.4
DL00088,O00088,D0061,13.44,32,Medium,Clear,91.7,49.75
DL00089,O00089,D0173,3.72,32,Medium,Cloudy,62.0,61.65
DL00090,O00090,D0378,5.87,21,Low,Rainy,77.2,83.47
DL00091,O00091,D0387,10.18,12,Medium,Cloudy,56.5,148.17
DL00092,O00092,D0431,11.15,29,Medium,Rainy,106.5,38.28
DL00093,O00093,D0433,2.61,32,High,Clear,70.6,143.47
DL00094,O00094,D0003,14.11,44,High,Clear,114.9,120.63
DL00095,O00095,D0003,1.38,42,Medium,Rainy,79.2,19.52
DL00096,O00096,D0477,1.94,11,Low,Cloudy,30.8,35.59
DL00097,O00097,D0083,11.67,33,Medium,Clear,87.2,122.99
DL00098,O00098,D0260,11.8,28,Low,Clear,82.4,190.2
DL00099,O00099,D0059,10.33,34,Medium,Rainy,94.3,161.28
DL00100,O00100,D0035,8.3,14,Medium,Rainy,73.1,77.68
DL00101,O00101,D0309,5.04,19,Low,Clear,43.5,37.24
DL00102,O00102,D0400,12.76,38,Medium,Clear,96.1,59.2
DL00103,O00103,D0376,10.78,17,Low,Rainy,83.4,245.62
DL00104,O00104,D0179,14.55,27,High,Clear,99.7,54.08
DL00105,O00105,D0154,7.36,38,High,Clear,85.7,79.1
DL00106,O00106,D0166,7.59,22,High,Clear,84.9,29.88
DL00107,O00107,D0369,12.08,42,Medium,Clear,95.3,51.36
DL00108,O00108,D0068,14.9,10,Medium,Rainy,90.0,103.22
DL00109,O00109,D0369,13.55,27,Medium,Cloudy,89.1,187.4
DL00110,O00110,D0418,5.16,25,Medium,Clear,58.9,194.48
DL00111,O00111,D0243,14.35,33,Low,Clear,89.6,81.08
DL00112,O00112,D0277,3.77,39,High,Rainy,96.4,27.3
DL00113,O00113,D0169,6.9,15,Medium,Clear,53.4,78.92
DL00114,O00114,D0443,13.42,44,Low,Cloudy,100.2,188.85
DL00115,O00115,D0089,5.39,34,High,Clear,87.5,11.82
DL00116,O00116,D0259,5.93,27,Medium,Clear,60.8,225.0
DL00117,O00117,D0237,14.93,14,High,Clear,92.3,198.24
DL00118,O00118,D0312,7.31,20,Medium,Cloudy,60.6,72.85
DL00119,O00119,D0190,14.26,44,Low,Rainy,107.5,120.46
DL00120,O00120,D0402,4.84,19,Medium,Clear,54.4,182.22
