order_id,customer_id,restaurant_id,order_timestamp,order_amount,number_of_items,weather,traffic_condition,order_status
O00001,C00489,R0048,2025-01-10 17:00:00,1552.79,2,Rainy,Medium,Completed
O00002,C01953,R0077,2025-02-15 05:00:00,1562.78,2,Clear,High,Completed
O00003,C00397,R0024,2025-03-16 02:00:00,1653.23,5,Clear,High,Completed
O00004,C00896,R0054,2025-02-17 01:00:00,1698.19,1,Rainy,Medium,Completed
O00005,C00355,R0095,2025-01-27 20:00:00,898.83,6,Cloudy,Medium,Completed
O00006,C00947,R0091,2025-03-06 21:00:00,1748.34,1,Cloudy,High,Completed
O00007,C00288,R0085,2025-01-17 21:00:00,1099.28,3,Cloudy,High,Cancelled
O00008,C01483,R0001,2025-03-13 02:00:00,994.13,3,Cloudy,High,Completed
O00009,C01648,R0079,2025-01-16 14:00:00,1465.22,3,Rainy,Low,Completed
O00010,C00998,R0067,2025-03-09 04:00:00,506.25,5,Rainy,High,Completed
O00011,C00536,R0006,2025-01-19 22:00:00,1600.05,1,Clear,Low,Completed
O00012,C01315,R0078,2025-01-09 09:00:00,915.99,4,Cloudy,Medium,Completed
O00013,C00851,R0055,2025-03-15 03:00:00,341.86,1,Rainy,Medium,Completed
O00014,C00838,R0038,2025-03-03 11:00:00,326.69,4,Rainy,High,Cancelled
O00015,C00168,R0033,2025-02-05 13:00:00,413.32,2,Clear,Medium,Completed
O00016,C00950,R0008,2025-01-31 03:00:00,1792.09,4,Cloudy,Low,Completed
O00017,C00621,R0090,2025-02-27 23:00:00,1982.78,2,Rainy,Medium,Completed
O00018,C00428,R0079,2025-01-11 21:00:00,778.25,6,Clear,Medium,Completed
O00019,C01726,R0078,2025-01-23 14:00:00,655.07,6,Rainy,High,Completed
O00020,C00490,R0020,2025-01-23 22:00:00,515.66,3,Clear,High,Completed
O00021,C00355,R0055,2025-02-25 09:00:00,1665.25,1,Clear,High,Completed
O00022,C00196,R0048,2025-03-19 21:00:00,497.49,3,Clear,High,Completed
O00023,C00545,R0083,2025-01-27 13:00:00,1855.77,1,Clear,Medium,Completed
O00024,C00717,R0056,2025-01-07 20:00:00,1367.97,4,Clear,Medium,Completed
O00025,C00824,R0097,2025-01-26 20:00:00,1804.54,1,Cloudy,Low,Completed
O00026,C00932,R0100,2025-02-20 23:00:00,1152.62,4,Clear,Medium,Completed
O00027,C01718,R0088,2025-01-03 02:00:00,1412.29,1,Cloudy,Medium,Completed
O00028,C01003,R0010,2025-01-21 08:00:00,1276.97,2,Clear,Low,Completed
O00029,C00659,R0052,2025-02-13 14:00:00,1679.27,4,Rainy,High,Completed
O00030,C00939,R0050,2025-01-28 16:00:00,1688.14,3,Rainy,Medium,Completed
O00031,C00780,R0034,2025-02-21 22:00:00,1220.61,3,Cloudy,High,Completed
O00032,C00011,R0036,2025-03-23 21:00:00,1301.76,3,Rainy,Medium,Completed
O00033,C01606,R0061,2025-02-21 20:00:00,1851.56,3,Rainy,High,Completed
O00034,C01280,R0100,2025-01-12 01:00:00,1866.75,2,Cloudy,Low,Completed
O00035,C00396,R0016,2025-01-04 00:00:00,1362.07,2,Clear,Low,Completed
O00036,C00731,R0079,2025-03-30 12:00:00,114.73,5,Clear,Low,Completed
O00037,C01833,R0018,2025-02-06 16:00:00,298.38,5,Rainy,Medium,Completed
O00038,C00409,R0071,2025-01-19 02:00:00,1730.09,5,Clear,High,Completed
O00039,C00362,R0047,2025-03-26 12:00:00,260.96,6,Clear,High,Completed
O00040,C01283,R0086,2025-02-15 08:00:00,505.69,5,Clear,Medium,Completed
O00041,C01027,R0032,2025-03-24 16:00:00,538.04,1,Clear,High,Completed
O00042,C00084,R0043,2025-01-15 20:00:00,1240.45,6,Cloudy,High,Completed
O00043,C00156,R0083,2025-02-08 23:00:00,1195.6,4,Cloudy,Medium,Completed
O00044,C01687,R0040,2025-01-01 17:00:00,649.89,3,Clear,Medium,Completed
O00045,C01200,R0065,2025-03-08 05:00:00,494.46,1,Clear,Medium,Completed
O00046,C00707,R0035,2025-03-16 16:00:00,1552.61,6,Clear,Medium,Completed
O00047,C01962,R0069,2025-02-11 11:00:00,1877.37,2,Clear,High,Completed
O00048,C00472,R0050,2025-02-13 00:00:00,200.33,3,Cloudy,Low,Completed
O00049,C00619,R0012,2025-03-04 05:00:00,353.04,4,Clear,High,Completed
O00050,C01448,R0076,2025-03-09 17:00:00,1320.11,4,Clear,Medium,Completed
O00051,C00134,R0085,2025-03-18 23:00:00,1628.44,2,Rainy,High,Completed
O00052,C00788,R0058,2025-03-06 02:00:00,1603.26,3,Rainy,Medium,Completed
O00053,C00907,R0083,2025-02-18 01:00:00,1467.4,5,Clear,Medium,Completed
O00054,C00864,R0063,2025-02-24 20:00:00,1786.11,3,Cloudy,High,Completed
O00055,C01404,R0073,2025-03-13 15:00:00,512.96,3,Clear,Medium,Completed
O00056,C00667,R0049,2025-03-23 06:00:00,303.85,4,Clear,Medium,Completed
O00057,C00277,R0036,2025-01-10 07:00:00,1269.19,2,Rainy,Low,Completed
O00058,C01260,R0054,2025-03-26 10:00:00,1662.32,3,Clear,Medium,Completed
