payment_id,order_id,payment_method,payment_status,payment_amount
P00001,O00001,Credit Card,Completed,1552.79
P00002,O00002,Debit Card,Completed,1562.78
P00003,O00003,Credit Card,Completed,1653.23
P00004,O00004,Debit Card,Completed,1698.19
P00005,O00005,Credit Card,Completed,898.83
P00006,O00006,UPI,Completed,1748.34
P00007,O00007,UPI,Completed,1099.28
P00008,O00008,Credit Card,Completed,994.13
P00009,O00009,Credit Card,Completed,1465.22
P00010,O00010,UPI,Completed,506.25
P00011,O00011,UPI,Completed,1600.05
P00012,O00012,UPI,Completed,915.99
P00013,O00013,Credit Card,Completed,341.86
P00014,O00014,Cash,Completed,326.69
P00015,O00015,Cash,Completed,413.32
P00016,O00016,Credit Card,Failed,1792.09
P00017,O00017,Debit Card,Completed,1982.78
P00018,O00018,UPI,Completed,778.25
P00019,O00019,UPI,Completed,655.07
P00020,O00020,Cash,Refunded,515.66
P00021,O00021,UPI,Completed,1665.25
P00022,O00022,Debit Card,Completed,497.49
P00023,O00023,UPI,Completed,1855.77
P00024,O00024,UPI,Completed,1367.97
P00025,O00025,UPI,Completed,1804.54
P00026,O00026,Credit Card,Completed,1152.62
P00027,O00027,UPI,Completed,1412.29
P00028,O00028,UPI,Completed,1276.97
P00029,O00029,Credit Card,Completed,1679.27
P00030,O00030,Cash,Completed,1688.14
P00031,O00031,UPI,Completed,1220.61
P00032,O00032,Cash,Completed,1301.76
P00033,O00033,UPI,Completed,1851.56
P00034,O00034,UPI,Completed,1866.75
P00035,O00035,UPI,Completed,1362.07
P00036,O00036,Cash,Completed,114.73
P00037,O00037,Credit Card,Completed,298.38
P00038,O00038,Cash,Completed,1730.09
P00039,O00039,Credit Card,Completed,260.96
P00040,O00040,Credit Card,Failed,505.69
P00041,O00041,UPI,Failed,538.04
P00042,O00042,UPI,Completed,1240.45
P00043,O00043,Credit Card,Completed,1195.6
P00044,O00044,Debit Card,Completed,649.89
P00045,O00045,Debit Card,Completed,494.46
P00046,O00046,Debit Card,Completed,1552.61
P00047,O00047,Debit Card,Completed,1877.37
P00048,O00048,Debit Card,Completed,200.33
P00049,O00049,UPI,Completed,353.04
P00050,O00050,UPI,Completed,1320.11
P00051,O00051,UPI,Completed,1628.44
P00052,O00052,UPI,Completed,1603.26
P00053,O00053,UPI,Completed,1467.4
P00054,O00054,Credit Card,Completed,1786.11
P00055,O00055,UPI,Completed,512.96
P00056,O00056,UPI,Completed,303.85
P00057,O00057,UPI,Completed,1269.19
P00058,O00058,UPI,Refunded,1662.32
P00059,O00059,UPI,Completed,1205.88
P00060,O00060,Debit Card,Failed,1929.7
P00061,O00061,Debit Card,Completed,1611.57
P00062,O00062,Debit Card,Completed,1431.5
P00063,O00063,Cash,Refunded,214.49
P00064,O00064,UPI,Completed,304.71
P00065,O00065,Credit Card,Completed,1591.19
P00066,O00066,UPI,Completed,476.65
P00067,O00067,UPI,Completed,154.79
P00068,O00068,Debit Card,Completed,1830.45
P00069,O00069,UPI,Completed,1792.53
P00070,O00070,Debit Card,Completed,515.12
P00071,O00071,Debit Card,Completed,1582.39
P00072,O00072,UPI,Completed,191.16
P00073,O00073,UPI,Completed,641.61
P00074,O00074,UPI,Refunded,1284.97
P00075,O00075,UPI,Completed,1550.04
P00076,O00076,UPI,Completed,119.76
P00077,O00077,UPI,Completed,719.8
P00078,O00078,Debit Card,Completed,507.26
P00079,O00079,Debit Card,Failed,1997.68
P00080,O00080,Credit Card,Completed,1374.87
P00081,O00081,Credit Card,Completed,870.78
P00082,O00082,UPI,Completed,243.74
P00083,O00083,UPI,Completed,1237.47
P00084,O00084,Credit Card,Completed,1319.23
P00085,O00085,Debit Card,Completed,1651.17
P00086,O00086,UPI,Completed,648.3
P00087,O00087,UPI,Completed,1964.71
P00088,O00088,Credit Card,Completed,934.98
