customer_id,total_orders,total_spending,average_order_value,average_items,weekend_orders,late_night_orders,active_days,ordering_frequency,average_rating_given,customer_cluster,dbscan_cluster
C00001,6.0,5414.299999999999,902.3833333333332,3.6666666666666665,0.0,1.0,76.0,0.07894736842105263,4.0,2,0
C00002,3.0,3627.81,1209.27,3.3333333333333335,1.0,0.0,39.0,0.07692307692307693,5.0,2,0
C00003,3.0,2401.7,800.5666666666666,3.0,1.0,1.0,48.0,0.0625,2.5,2,0
C00004,4.0,6408.8099999999995,1602.2024999999999,3.75,0.0,0.0,42.0,0.09523809523809523,5.0,2,0
C00005,3.0,3450.56,1150.1866666666667,2.6666666666666665,2.0,1.0,59.0,0.05084745762711865,4.5,2,0
C00006,3.0,4598.47,1532.8233333333335,2.3333333333333335,0.0,0.0,43.0,0.06976744186046512,5.0,2,0
C00007,4.0,3199.51,799.8775,3.25,1.0,1.0,50.0,0.08,5.0,2,0
C00008,6.0,8610.68,1435.1133333333335,4.333333333333333,2.0,3.0,46.0,0.13043478260869565,3.8333333333333335,1,0
C00009,7.0,7379.63,1054.2328571428573,2.857142857142857,1.0,1.0,87.0,0.08045977011494253,3.1666666666666665,1,0
C00010,5.0,4503.16,900.632,2.8,3.0,1.0,71.0,0.07042253521126761,3.75,2,0
C00011,3.0,3301.23,1100.41,4.0,2.0,2.0,80.0,0.0375,3.0,2,0
C00012,5.0,4958.93,991.7860000000001,2.8,0.0,2.0,70.0,0.07142857142857142,3.6666666666666665,2,0
C00013,7.0,6820.71,974.3871428571429,3.2857142857142856,1.0,4.0,75.0,0.09333333333333334,3.6,1,0
C00014,4.0,3486.65,871.6625,2.75,2.0,0.0,31.0,0.12903225806451613,2.5,2,0
C00015,6.0,7219.63,1203.2716666666668,4.166666666666667,1.0,0.0,78.0,0.07692307692307693,2.0,2,0
C00016,11.0,12144.03,1104.0027272727273,3.8181818181818183,4.0,0.0,85.0,0.12941176470588237,3.625,1,0
C00017,8.0,8853.869999999999,1106.7337499999999,3.625,4.0,3.0,58.0,0.13793103448275862,4.0,1,0
C00018,3.0,3859.41,1286.47,3.0,1.0,2.0,48.0,0.0625,3.0,2,0
C00019,5.0,4132.66,826.5319999999999,2.6,1.0,1.0,73.0,0.0684931506849315,3.6,2,0
C00020,2.0,1620.07,810.035,3.0,0.0,0.0,5.0,0.4,4.0,2,0
C00021,8.0,11545.79,1443.22375,4.375,3.0,0.0,78.0,0.10256410256410256,3.5714285714285716,1,0
C00022,2.0,1027.22,513.61,3.5,0.0,0.0,67.0,0.029850746268656716,5.0,2,0
C00023,6.0,5289.8,881.6333333333333,3.0,0.0,2.0,27.0,0.2222222222222222,3.3333333333333335,2,0
C00024,4.0,3197.8900000000003,799.4725000000001,2.5,0.0,2.0,55.0,0.07272727272727272,4.0,2,0
C00025,6.0,7524.09,1254.015,5.0,3.0,1.0,87.0,0.06896551724137931,4.4,1,0
C00026,2.0,1857.33,928.665,5.5,1.0,0.0,11.0,0.18181818181818182,5.0,2,0
C00027,5.0,3887.77,777.554,2.8,2.0,0.0,40.0,0.125,3.0,2,0
C00028,8.0,6588.719999999999,823.5899999999999,3.875,3.0,3.0,88.0,0.09090909090909091,4.25,1,0
C00029,8.0,9614.0,1201.75,3.875,4.0,1.0,79.0,0.10126582278481013,2.4285714285714284,1,0
C00030,3.0,3268.29,1089.43,3.6666666666666665,0.0,0.0,63.0,0.047619047619047616,3.0,2,0
C00031,8.0,9187.7,1148.4625,3.875,2.0,3.0,71.0,0.11267605633802817,3.5,1,0
C00032,8.0,8012.58,1001.5725,2.875,2.0,2.0,66.0,0.12121212121212122,3.6666666666666665,1,0
C00033,5.0,2876.5299999999997,575.3059999999999,2.4,0.0,0.0,62.0,0.08064516129032258,4.5,2,0
C00034,7.0,5602.05,800.2928571428572,4.714285714285714,4.0,1.0,74.0,0.0945945945945946,3.2,1,0
C00035,5.0,3311.65,662.33,3.6,0.0,0.0,41.0,0.12195121951219512,3.2,2,0
C00036,4.0,4688.87,1172.2175,2.75,2.0,0.0,47.0,0.0851063829787234,3.6666666666666665,2,0
C00037,4.0,1756.57,439.1425,3.25,1.0,1.0,68.0,0.058823529411764705,4.0,2,0
C00038,5.0,5707.99,1141.598,4.4,2.0,1.0,77.0,0.06493506493506493,4.5,2,0
C00039,7.0,9531.24,1361.6057142857142,2.4285714285714284,1.0,1.0,77.0,0.09090909090909091,4.2,1,0
C00040,4.0,4591.89,1147.9725,4.0,2.0,0.0,23.0,0.17391304347826086,4.333333333333333,2,0
C00041,6.0,4527.799999999999,754.6333333333332,5.0,3.0,1.0,86.0,0.06976744186046512,3.5,1,0
C00042,7.0,5290.34,755.7628571428571,4.142857142857143,1.0,3.0,36.0,0.19444444444444445,3.75,1,0
C00043,2.0,868.49,434.245,2.5,1.0,1.0,17.0,0.11764705882352941,2.5,2,0
C00044,6.0,6399.63,1066.605,2.1666666666666665,1.0,2.0,65.0,0.09230769230769231,3.5,1,0
C00045,2.0,2331.71,1165.855,3.0,1.0,1.0,48.0,0.041666666666666664,1.0,2,0
C00046,9.0,10516.9,1168.5444444444445,3.0,4.0,2.0,61.0,0.14754098360655737,4.714285714285714,1,0
C00047,5.0,6198.01,1239.602,4.0,3.0,3.0,77.0,0.06493506493506493,3.8,1,0
C00048,4.0,5020.83,1255.2075,4.5,1.0,0.0,42.0,0.09523809523809523,4.0,2,0
C00049,5.0,6616.78,1323.356,3.0,1.0,2.0,80.0,0.0625,4.0,1,0
C00050,9.0,7718.950000000001,857.6611111111112,2.7777777777777777,1.0,2.0,29.0,0.3103448275862069,4.714285714285714,1,0
