restaurant_id,restaurant_name,restaurant_category,city,total_orders,revenue,cancellation_rate,average_preparation_time,average_delivery_time,average_rating,restaurant_cluster,dbscan_cluster
R0001,Odom PLC,Indian,Bangalore,93,102522.47,8.60215053763441,27.49462365591398,75.32903225806452,3.3384615384615386,1,0
R0002,Gutierrez LLC,Desserts,Chennai,101,102927.11,8.91089108910891,27.336633663366335,75.66237623762376,3.7083333333333335,0,0
R0003,Hawkins PLC,Fast Food,Bangalore,99,109028.94,11.11111111111111,26.77777777777778,72.28181818181818,3.4558823529411766,0,0
R0004,"Buck, Garrett and Simmons",Italian,Mumbai,96,97958.04,8.333333333333332,24.770833333333332,70.77499999999999,3.5166666666666666,0,0
R0005,Williams-Cooper,Desserts,Delhi,98,109776.75,7.142857142857142,25.836734693877553,73.88571428571429,3.7,2,0
R0006,"Powers, Floyd and Flores",Indian,Mumbai,101,107698.1,7.920792079207921,26.801980198019802,74.53564356435643,3.670886075949367,2,0
R0007,Russell-Evans,Chinese,Chennai,113,116819.53,9.734513274336283,26.79646017699115,74.18672566371681,3.5714285714285716,2,0
R0008,Webster Group,Fast Food,Mumbai,109,126260.98,5.5045871559633035,26.889908256880734,71.74678899082568,3.44,2,0
R0009,Atkinson LLC,Fast Food,Hyderabad,98,94550.72,6.122448979591836,27.377551020408163,74.28061224489795,3.5714285714285716,1,0
R0010,"Thomas, Ford and Brown",North Indian,Delhi,111,101316.95999999999,9.90990990990991,26.72972972972973,72.46306306306306,3.8227848101265822,0,0
R0011,Faulkner-Grant,Indian,Hyderabad,121,123838.96,9.090909090909092,26.231404958677686,70.11239669421488,3.7752808988764044,2,-1
R0012,Price LLC,South Indian,Hyderabad,116,120419.37,8.620689655172415,26.517241379310345,74.50172413793103,3.8051948051948052,2,0
R0013,Rivera Inc,Fast Food,Chennai,106,117094.27,9.433962264150944,26.735849056603772,74.76415094339623,3.5526315789473686,2,0
R0014,Boone-Davis,Italian,Bangalore,96,96390.12,9.375,27.041666666666668,73.77187500000001,3.4705882352941178,0,0
R0015,"Calderon, Williams and Bennett",Fast Food,Hyderabad,97,103890.79,8.24742268041237,26.484536082474225,76.21546391752577,3.625,0,0
R0016,"Morrison, Russo and Lopez",North Indian,Mumbai,115,111084.29,7.82608695652174,25.14782608695652,72.75652173913043,3.721518987341772,2,0
R0017,"Ramsey, Hansen and Mendoza",Chinese,Bangalore,109,118203.38,7.339449541284404,28.642201834862384,76.051376146789,3.5733333333333333,2,0
R0018,Turner-Stout,North Indian,Mumbai,115,125023.91,7.82608695652174,28.973913043478262,76.34521739130436,3.552941176470588,2,0
R0019,Giles Ltd,Fast Food,Mumbai,106,109103.87,11.320754716981133,27.660377358490567,76.72735849056605,3.476923076923077,2,0
R0020,Burgess Group,Desserts,Bangalore,77,83184.02,3.896103896103896,26.935064935064936,76.08961038961039,3.627450980392157,1,-1
R0021,Dominguez Ltd,South Indian,Bangalore,84,91244.32,15.476190476190476,24.916666666666668,71.74404761904762,3.5576923076923075,0,1
R0022,Sanders and Sons,Cafe,Mumbai,102,103758.04,10.784313725490197,27.57843137254902,75.2656862745098,3.6323529411764706,0,0
R0023,"Morris, Campbell and Owens",Fast Food,Chennai,104,115730.47,9.615384615384617,26.625,73.55576923076923,3.276315789473684,2,0
R0024,"Howard, Green and Hunt",Indian,Delhi,83,91096.02,12.048192771084338,27.93975903614458,74.97831325301205,3.482142857142857,0,0
R0025,Owens-Lang,Fast Food,Delhi,98,94297.29,6.122448979591836,27.744897959183675,76.71836734693878,3.5428571428571427,1,0
R0026,"Harrison, Franco and Rocha",South Indian,Chennai,87,96510.08,6.896551724137931,27.0,73.02988505747126,3.314814814814815,1,0
R0027,Edwards-Williams,Indian,Bangalore,91,97568.6,13.186813186813188,27.582417582417584,79.5043956043956,3.701492537313433,1,0
R0028,Figueroa Inc,Italian,Mumbai,103,96733.66,8.737864077669903,26.174757281553397,73.35533980582525,3.6666666666666665,0,0
R0029,Tran-Silva,Desserts,Delhi,97,107024.75,9.278350515463918,25.0,72.1319587628866,3.639344262295082,0,0
R0030,"Butler, Hernandez and Rivera",Indian,Mumbai,103,109918.7,10.679611650485436,28.02912621359223,76.87669902912621,3.1159420289855073,1,-1
R0031,Hudson-Sanchez,North Indian,Chennai,99,106802.17,5.05050505050505,26.434343434343436,73.16464646464647,3.452054794520548,2,0
R0032,"Pena, Cohen and Scott",Chinese,Mumbai,95,99831.38,13.684210526315791,27.08421052631579,75.3357894736842,3.6056338028169015,0,0
R0033,Levy-May,North Indian,Chennai,103,106578.54,9.70873786407767,27.184466019417474,72.26990291262136,3.8405797101449277,0,0
R0034,Murray-Oconnor,Cafe,Bangalore,101,104153.04,13.861386138613863,27.336633663366335,77.73168316831683,3.526315789473684,0,0
R0035,Jackson-Cortez,Indian,Chennai,105,103382.21,3.8095238095238098,28.36190476190476,75.69619047619048,3.591549295774648,1,0
R0036,White-Preston,Italian,Chennai,117,115066.31,5.128205128205128,25.76068376068376,71.12222222222222,3.4166666666666665,2,0
R0037,"Bernard, Warren and Combs",Fast Food,Delhi,105,116549.42,6.666666666666667,26.80952380952381,72.38571428571429,3.642857142857143,2,0
R0038,Landry Ltd,Desserts,Mumbai,95,97798.23,12.631578947368421,26.51578947368421,72.3821052631579,3.6610169491525424,0,0
