order_id,customer_id,restaurant_id,order_timestamp,order_amount,number_of_items,order_status,delivery_id,driver_id,delivery_distance_km,preparation_time_minutes,delivery_time_minutes,tip_amount,order_hour,day_of_week,is_weekend,traffic_condition_Low,traffic_condition_Medium,weather_Cloudy,weather_Rainy
O00001,C00489,R0048,2025-01-10 17:00:00,1552.79,2,Completed,DL00001,D0259,14.79,43,128.9,164.01,17,4,0,0,1,0,1
O00002,C01953,R0077,2025-02-15 05:00:00,1562.78,2,Completed,DL00002,D0167,5.64,32,81.7,66.3,5,5,1,0,0,0,0
O00003,C00397,R0024,2025-03-16 02:00:00,1653.23,5,Completed,DL00003,D0471,9.75,41,98.1,149.36,2,6,1,0,0,0,0
O00004,C00896,R0054,2025-02-17 01:00:00,1698.19,1,Completed,DL00004,D0267,8.97,30,90.8,211.23,1,0,0,0,1,0,1
O00005,C00355,R0095,2025-01-27 20:00:00,898.83,6,Completed,DL00005,D0224,8.57,31,81.1,36.35,20,0,0,0,1,1,0
O00006,C00947,R0091,2025-03-06 21:00:00,1748.34,1,Completed,DL00006,D0367,14.06,11,90.5,212.34,21,3,0,0,0,1,0
O00007,C00288,R0085,2025-01-17 21:00:00,1099.28,3,Cancelled,DL00007,D0286,2.77,18,57.0,85.74,21,4,0,0,0,1,0
O00008,C01483,R0001,2025-03-13 02:00:00,994.13,3,Completed,DL00008,D0306,8.23,35,93.2,45.82,2,3,0,0,0,1,0
O00009,C01648,R0079,2025-01-16 14:00:00,1465.22,3,Completed,DL00009,D0484,1.36,29,57.1,39.0,14,3,0,1,0,0,1
O00010,C00998,R0067,2025-03-09 04:00:00,506.25,5,Completed,DL00010,D0067,5.31,24,91.3,73.04,4,6,1,0,0,0,1
O00011,C00536,R0006,2025-01-19 22:00:00,1600.05,1,Completed,DL00011,D0176,10.45,30,75.8,68.22,22,6,1,1,0,0,0
O00012,C01315,R0078,2025-01-09 09:00:00,915.99,4,Completed,DL00012,D0104,11.93,24,82.1,114.54,9,3,0,0,1,1,0
O00013,C00851,R0055,2025-03-15 03:00:00,341.86,1,Completed,DL00013,D0296,12.96,32,108.1,30.77,3,5,1,0,1,0,1
O00014,C00838,R0038,2025-03-03 11:00:00,326.69,4,Cancelled,DL00014,D0228,2.07,14,68.9,45.63,11,0,0,0,0,0,1
O00015,C00168,R0033,2025-02-05 13:00:00,413.32,2,Completed,DL00015,D0272,3.58,43,65.1,52.42,13,2,0,0,1,0,0
O00016,C00950,R0008,2025-01-31 03:00:00,1792.09,4,Completed,DL00016,D0160,6.62,33,64.6,92.23,3,4,0,1,0,1,0
O00017,C00621,R0090,2025-02-27 23:00:00,1982.78,2,Completed,DL00017,D0356,6.34,35,103.1,294.88,23,3,0,0,1,0,1
O00018,C00428,R0079,2025-01-11 21:00:00,778.25,6,Completed,DL00018,D0190,4.56,17,54.3,55.14,21,5,1,0,1,0,0
